ID,Type,Time,Latitude,Longitude
211,Residential burglary,2015-06-02 14:00:00,25.15627,121.529227
212,Residential burglary,2015-06-06 5:00:00,25.0604257,121.5264588
213,Residential burglary,2015-06-06 11:00:00,25.0535222,121.5610675
214,Residential burglary,2015-06-07 8:00:00,25.056739,121.524505
215,Residential burglary,2015-06-07 11:00:00,25.0371275,121.5331639
216,Residential burglary,2015-06-08 8:00:00,25.0629946,121.5241052
217,Residential burglary,2015-06-08 14:00:00,25.092044,121.527965
218,Residential burglary,2015-06-08 23:00:00,25.0550232,121.5268296
219,Residential burglary,2015-06-09 17:00:00,24.9853697,121.5493757
220,Residential burglary,2015-06-12 11:00:00,25.0275043,121.5655203
221,Residential burglary,2015-06-15 11:00:00,25.0588942,121.5359111
222,Residential burglary,2015-06-15 17:00:00,25.0421807,121.5513861
223,Residential burglary,2015-06-16 8:00:00,25.0290571,121.4999105
224,Residential burglary,2015-06-16 14:00:00,24.9951447,121.5463832
225,Residential burglary,2015-06-19 8:00:00,25.0473265,121.5279672
226,Residential burglary,2015-06-19 20:00:00,25.0251372,121.5235957
227,Residential burglary,2015-06-21 11:00:00,25.112606,121.561247
228,Residential burglary,2015-06-22 8:00:00,25.1168403,121.500192
229,Residential burglary,2015-06-22 14:00:00,25.096635,121.547422
230,Residential burglary,2015-06-28 17:00:00,25.0538738,121.5879814
231,Residential burglary,2015-06-28 17:10:00,25.0703309,121.614433
232,Residential burglary,2015-06-28 23:00:00,25.0585648,121.5255384
233,Residential burglary,2015-06-30 23:00:00,25.1397951,121.5087915
234,Residential burglary,2015-07-01 17:00:00,25.0607533,121.5256083
235,Residential burglary,2015-07-02 20:00:00,25.148985,121.556961
236,Residential burglary,2015-07-03 14:00:00,25.075592,121.6224271
237,Residential burglary,2015-07-04 5:00:00,25.0331054,121.5818811
238,Residential burglary,2015-07-07 2:00:00,25.0396831,121.5000325
239,Residential burglary,2015-07-07 8:00:00,24.9826284,121.5542226
240,Residential burglary,2015-07-07 20:00:00,25.031068,121.5023831
241,Residential burglary,2015-07-08 11:00:00,25.001194,121.566214
242,Residential burglary,2015-07-09 2:00:00,25.0659966,121.5280981
243,Residential burglary,2015-07-12 17:00:00,25.0274714,121.5052028
244,Residential burglary,2015-07-13 23:00:00,25.0388056,121.5245287
245,Residential burglary,2015-07-14 8:00:00,25.038922,121.4981437
246,Residential burglary,2015-07-15 11:00:00,25.0295759,121.4934618
247,Residential burglary,2015-07-15 14:00:00,25.0368328,121.5602068
248,Residential burglary,2015-07-15 20:00:00,25.0522884,121.5321795
249,Residential burglary,2015-07-16 8:00:00,25.0351265,121.5562459
250,Residential burglary,2015-07-17 2:00:00,25.0580913,121.5264412
251,Residential burglary,2015-07-18 2:00:00,25.1332028,121.4756058
252,Residential burglary,2015-07-18 14:00:00,25.0587242,121.5553698
253,Residential burglary,2015-07-18 17:00:00,25.0379385,121.4998008
254,Residential burglary,2015-07-18 20:00:00,25.1369925,121.5113708
255,Residential burglary,2015-07-20 17:00:00,25.1224748,121.5002494
256,Residential burglary,2015-07-20 20:00:00,25.0847371,121.5186058
257,Residential burglary,2015-07-20 23:00:00,25.041994,121.501599
258,Residential burglary,2015-07-21 11:00:00,25.0523524,121.5650483
259,Residential burglary,2015-07-23 8:00:00,25.0520049,121.5579155
260,Residential burglary,2015-07-25 11:00:00,25.0518185,121.5573674
261,Residential burglary,2015-07-27 8:00:00,25.0496729,121.5691247
262,Residential burglary,2015-07-27 8:10:00,25.0523437,121.5528009
263,Residential burglary,2015-07-27 20:00:00,25.1380163,121.5426896
264,Residential burglary,2015-07-29 11:00:00,25.0635141,121.5664762
265,Residential burglary,2015-07-30 17:00:00,25.0335717,121.4936655
266,Residential burglary,2015-07-31 2:00:00,25.0523524,121.5650483
267,Residential burglary,2015-07-31 5:00:00,25.0560495,121.5672685
268,Residential burglary,2015-07-31 8:00:00,25.0322972,121.5051266
